Sample,Stage,Temp
29_4cell_rep_1,2,1
29_4cell_rep_2,2,1
29_4cell_rep_3,2,1
29_blast_rep_1,3,1
29_blast_rep_2,3,1
29_blast_rep_3,3,1
29_gast_rep_1,4,1
29_gast_rep_2,4,1
29_gast_rep_3,4,1
29_larv_rep_1,5,1
29_larv_rep_2,5,1
29_larv_rep_3,5,1
33_4cell_rep_1,2,2
33_4cell_rep_2,2,2
33_4cell_rep_3,2,2
33_blast_rep_1,3,2
33_blast_rep_2,3,2
33_blast_rep_3,3,2
33_gast_rep_1,4,2
33_gast_rep_2,4,2
33_gast_rep_3,4,2
33_larv_rep_1,5,2
33_larv_rep_2,5,2
33_larv_rep_3,5,2
eggs_rep_1,1,1
eggs_rep_2,1,1
eggs_rep_3,1,1