"","pinkGeneNames"
"1","TRINITY_DN1300_c0_g1"
"2","TRINITY_DN2006_c3_g1"
"3","TRINITY_DN80_c0_g1"
"4","TRINITY_DN412_c0_g1"
"5","TRINITY_DN3969_c0_g1"
"6","TRINITY_DN1314_c0_g1"
"7","TRINITY_DN748_c0_g1"
"8","TRINITY_DN4320_c0_g1"
"9","TRINITY_DN3236_c0_g1"
"10","TRINITY_DN6640_c0_g1"
"11","TRINITY_DN27565_c0_g1"
"12","TRINITY_DN2905_c0_g1"
"13","TRINITY_DN18895_c0_g1"
"14","TRINITY_DN29595_c2_g1"
"15","TRINITY_DN10169_c1_g2"
"16","TRINITY_DN3276_c1_g1"
"17","TRINITY_DN14692_c0_g1"
"18","TRINITY_DN41512_c0_g1"
"19","TRINITY_DN3746_c0_g1"
"20","TRINITY_DN63325_c0_g1"
"21","TRINITY_DN8059_c0_g1"
"22","TRINITY_DN5986_c1_g1"
"23","TRINITY_DN1640_c0_g1"
"24","TRINITY_DN1813_c0_g2"
"25","TRINITY_DN6944_c0_g1"
"26","TRINITY_DN11013_c0_g1"
"27","TRINITY_DN150_c0_g1"
"28","TRINITY_DN19147_c0_g1"
"29","TRINITY_DN7135_c0_g2"
"30","TRINITY_DN12883_c0_g1"
"31","TRINITY_DN1210_c0_g1"
"32","TRINITY_DN8811_c0_g1"
"33","TRINITY_DN1426_c0_g1"
"34","TRINITY_DN31536_c0_g1"
"35","TRINITY_DN2486_c0_g1"
"36","TRINITY_DN21908_c0_g1"
"37","TRINITY_DN1508_c0_g1"
"38","TRINITY_DN5277_c0_g1"
"39","TRINITY_DN14666_c0_g1"
"40","TRINITY_DN6868_c0_g1"
"41","TRINITY_DN5325_c0_g2"
"42","TRINITY_DN47909_c0_g1"
"43","TRINITY_DN392_c1_g1"
"44","TRINITY_DN2205_c0_g1"
"45","TRINITY_DN5236_c0_g1"
"46","TRINITY_DN5415_c0_g1"
"47","TRINITY_DN3422_c0_g1"
"48","TRINITY_DN18811_c0_g1"
"49","TRINITY_DN15745_c0_g1"
"50","TRINITY_DN47903_c0_g1"
"51","TRINITY_DN23915_c0_g1"
"52","TRINITY_DN131_c0_g1"
"53","TRINITY_DN1492_c0_g1"
"54","TRINITY_DN9978_c0_g1"
"55","TRINITY_DN2874_c0_g1"
"56","TRINITY_DN56187_c0_g1"
"57","TRINITY_DN4741_c0_g1"
"58","TRINITY_DN2412_c0_g1"
"59","TRINITY_DN17119_c0_g1"
"60","TRINITY_DN34517_c0_g1"
"61","TRINITY_DN11341_c0_g1"
"62","TRINITY_DN4389_c0_g2"
"63","TRINITY_DN18826_c0_g1"
"64","TRINITY_DN19239_c0_g1"
"65","TRINITY_DN3512_c0_g1"
"66","TRINITY_DN3309_c0_g1"
"67","TRINITY_DN7006_c0_g2"
"68","TRINITY_DN1289_c0_g1"
"69","TRINITY_DN5449_c0_g1"
"70","TRINITY_DN1552_c0_g1"
"71","TRINITY_DN808_c0_g1"
"72","TRINITY_DN14969_c0_g1"
"73","TRINITY_DN7092_c0_g1"
"74","TRINITY_DN23891_c2_g1"
"75","TRINITY_DN17264_c0_g1"
"76","TRINITY_DN2646_c0_g1"
"77","TRINITY_DN28945_c0_g1"
"78","TRINITY_DN72732_c0_g1"
"79","TRINITY_DN4102_c0_g1"
"80","TRINITY_DN8589_c0_g2"
"81","TRINITY_DN1996_c0_g1"
"82","TRINITY_DN6851_c0_g1"
"83","TRINITY_DN304_c0_g1"
"84","TRINITY_DN3381_c0_g1"
"85","TRINITY_DN3225_c0_g1"
"86","TRINITY_DN12688_c0_g1"
"87","TRINITY_DN17886_c0_g1"
"88","TRINITY_DN2712_c0_g1"
"89","TRINITY_DN1230_c0_g1"
"90","TRINITY_DN1786_c0_g1"
"91","TRINITY_DN15622_c1_g1"
"92","TRINITY_DN4060_c0_g2"
"93","TRINITY_DN1507_c0_g1"
"94","TRINITY_DN30648_c0_g1"
"95","TRINITY_DN5291_c0_g1"
"96","TRINITY_DN1916_c0_g2"
"97","TRINITY_DN54_c0_g1"
"98","TRINITY_DN9276_c0_g1"
"99","TRINITY_DN5044_c1_g1"
"100","TRINITY_DN4527_c0_g1"
"101","TRINITY_DN1412_c0_g1"
"102","TRINITY_DN54970_c0_g1"
"103","TRINITY_DN4533_c0_g1"
"104","TRINITY_DN1312_c0_g1"
"105","TRINITY_DN19017_c0_g1"
"106","TRINITY_DN3635_c0_g1"
"107","TRINITY_DN4181_c1_g2"
"108","TRINITY_DN1194_c0_g1"
"109","TRINITY_DN17274_c0_g1"
"110","TRINITY_DN1963_c0_g1"
"111","TRINITY_DN41578_c0_g1"
"112","TRINITY_DN3797_c2_g1"
"113","TRINITY_DN18769_c0_g1"
"114","TRINITY_DN28738_c0_g1"
"115","TRINITY_DN4714_c0_g1"
"116","TRINITY_DN4463_c0_g1"
"117","TRINITY_DN5324_c0_g2"
"118","TRINITY_DN2640_c0_g1"
"119","TRINITY_DN5166_c0_g2"
"120","TRINITY_DN9977_c3_g1"
"121","TRINITY_DN15277_c2_g1"
"122","TRINITY_DN460_c0_g1"
"123","TRINITY_DN2080_c0_g1"
"124","TRINITY_DN3202_c0_g1"
"125","TRINITY_DN1343_c3_g1"
"126","TRINITY_DN10246_c0_g1"
"127","TRINITY_DN35936_c0_g1"
"128","TRINITY_DN26243_c0_g1"
"129","TRINITY_DN10402_c0_g1"
"130","TRINITY_DN1055_c0_g1"
"131","TRINITY_DN10578_c0_g1"
"132","TRINITY_DN18622_c0_g1"
"133","TRINITY_DN1630_c0_g1"
"134","TRINITY_DN2009_c0_g1"
"135","TRINITY_DN4474_c0_g1"
"136","TRINITY_DN4424_c4_g1"
"137","TRINITY_DN3773_c0_g1"
"138","TRINITY_DN2685_c0_g1"
"139","TRINITY_DN48361_c0_g1"
"140","TRINITY_DN6624_c0_g1"
"141","TRINITY_DN2213_c0_g1"
"142","TRINITY_DN1273_c2_g1"
"143","TRINITY_DN46315_c0_g1"
"144","TRINITY_DN29044_c0_g1"
"145","TRINITY_DN4033_c0_g1"
"146","TRINITY_DN14117_c0_g1"
"147","TRINITY_DN738_c1_g1"
"148","TRINITY_DN52480_c0_g1"
"149","TRINITY_DN12341_c0_g1"
"150","TRINITY_DN428_c0_g1"
"151","TRINITY_DN6251_c0_g1"
"152","TRINITY_DN11599_c0_g1"
"153","TRINITY_DN5610_c0_g1"
"154","TRINITY_DN60277_c0_g1"
"155","TRINITY_DN29671_c1_g1"
"156","TRINITY_DN11796_c0_g1"
"157","TRINITY_DN3471_c0_g1"
"158","TRINITY_DN1793_c1_g1"
"159","TRINITY_DN18804_c0_g1"
"160","TRINITY_DN8243_c0_g2"
"161","TRINITY_DN8306_c0_g1"
"162","TRINITY_DN7894_c0_g1"
"163","TRINITY_DN3357_c0_g1"
"164","TRINITY_DN306_c0_g1"
"165","TRINITY_DN6000_c0_g1"
"166","TRINITY_DN31767_c0_g1"
"167","TRINITY_DN10137_c0_g1"
"168","TRINITY_DN6044_c0_g2"
"169","TRINITY_DN1602_c0_g1"
"170","TRINITY_DN11019_c0_g1"
"171","TRINITY_DN2207_c0_g1"
"172","TRINITY_DN6671_c0_g1"
"173","TRINITY_DN13520_c0_g1"
"174","TRINITY_DN3335_c0_g1"
"175","TRINITY_DN11279_c0_g1"
"176","TRINITY_DN264_c0_g1"
"177","TRINITY_DN2469_c0_g1"
"178","TRINITY_DN9178_c0_g1"
"179","TRINITY_DN10057_c0_g1"
"180","TRINITY_DN64_c0_g1"
"181","TRINITY_DN87_c0_g1"
"182","TRINITY_DN634_c0_g1"
"183","TRINITY_DN4515_c0_g1"
"184","TRINITY_DN14259_c0_g1"
"185","TRINITY_DN2280_c0_g1"
"186","TRINITY_DN7490_c0_g2"
"187","TRINITY_DN430_c0_g1"
"188","TRINITY_DN5792_c0_g1"
"189","TRINITY_DN10197_c0_g1"
"190","TRINITY_DN5972_c0_g1"
"191","TRINITY_DN15119_c0_g1"
"192","TRINITY_DN6116_c0_g1"
"193","TRINITY_DN9232_c0_g1"
"194","TRINITY_DN11320_c0_g1"
"195","TRINITY_DN13072_c0_g1"
"196","TRINITY_DN2837_c0_g1"
"197","TRINITY_DN4743_c0_g1"
"198","TRINITY_DN10636_c0_g1"
"199","TRINITY_DN42227_c0_g1"
"200","TRINITY_DN825_c0_g1"
"201","TRINITY_DN4546_c0_g1"
"202","TRINITY_DN8749_c0_g1"
"203","TRINITY_DN10753_c0_g1"
"204","TRINITY_DN1822_c0_g1"
"205","TRINITY_DN9597_c0_g1"
"206","TRINITY_DN420_c0_g1"
"207","TRINITY_DN12344_c0_g1"
"208","TRINITY_DN3152_c0_g1"
"209","TRINITY_DN7983_c0_g1"
"210","TRINITY_DN824_c0_g1"
"211","TRINITY_DN6164_c0_g1"
"212","TRINITY_DN4294_c0_g2"
"213","TRINITY_DN1565_c0_g1"
"214","TRINITY_DN26465_c0_g1"
